size,thread_count,sum,time
100000000,5,549990717,324636
100000000,6,549990717,274686
100000000,7,549990717,312757
100000000,8,549990717,273830
100000000,9,549990717,277366
100000000,10,549990717,252150
100000000,11,549990717,232744
100000000,12,549990717,214271
100000000,16,549990717,242893
100000000,100,549990717,216303
100000000,500,549990717,219769
100000000,2000,549990717,241193
100000000,1,549946939,1477197
100000000,2,549946939,766019
100000000,3,549946939,520235
100000000,4,549946939,397235
100000000,5,549946939,324844
100000000,6,549946939,274338
100000000,7,549946939,313817
100000000,8,549946939,290067
100000000,9,549946939,276320
100000000,10,549946939,268413
100000000,11,549946939,233623
100000000,12,549946939,238179
100000000,16,549946939,262049
100000000,100,549946939,219709
100000000,500,549946939,218084
100000000,2000,549946939,238340
100000000,1,550017119,1479399
100000000,2,550017119,845577
100000000,3,550017119,522409
100000000,4,550017119,432113
100000000,5,550017119,323449
100000000,6,550017119,274143
100000000,7,550017119,311068
100000000,8,550017119,276387
100000000,9,550017119,253409
100000000,10,550017119,255864
100000000,11,550017119,232948
100000000,12,550017119,214335
100000000,16,550017119,241966
100000000,100,550017119,220489
100000000,500,550017119,220489
100000000,2000,550017119,244573
100000000,1,549948056,1523111
100000000,2,549948056,765717
100000000,3,549948056,521178
100000000,4,549948056,398194
100000000,5,549948056,324771
100000000,6,549948056,274365
100000000,7,549948056,312519
100000000,8,549948056,274033
100000000,9,549948056,279115
100000000,10,549948056,252489
100000000,11,549948056,233197
100000000,12,549948056,214260
100000000,16,549948056,255553
100000000,100,549948056,217294
100000000,500,549948056,221055
100000000,2000,549948056,241977
100000000,1,549953685,1478338
100000000,2,549953685,764695
100000000,3,549953685,521524
100000000,4,549953685,397900
100000000,5,549953685,324914
100000000,6,549953685,274659
100000000,7,549953685,311283
100000000,8,549953685,276205
100000000,9,549953685,277276
100000000,10,549953685,253042
100000000,11,549953685,234234
100000000,12,549953685,214498
100000000,16,549953685,250274
100000000,100,549953685,216751
100000000,500,549953685,218533
100000000,2000,549953685,240254
100000000,1,550009195,1537706
100000000,2,550009195,766861
100000000,3,550009195,536001
100000000,4,550009195,417287
100000000,5,550009195,331683
100000000,6,550009195,274419
100000000,7,550009195,312991
100000000,8,550009195,274474
100000000,9,550009195,280636
100000000,10,550009195,256005
100000000,11,550009195,233739
100000000,12,550009195,214878
100000000,16,550009195,245199
100000000,100,550009195,216784
100000000,500,550009195,219540
100000000,2000,550009195,238626
100000000,1,549934579,1478214
100000000,2,549934579,786124
100000000,3,549934579,520973
100000000,4,549934579,399472
100000000,5,549934579,323412
100000000,6,549934579,275776
100000000,7,549934579,314932
100000000,8,549934579,273812
100000000,9,549934579,277267
100000000,10,549934579,256492
100000000,11,549934579,233544
100000000,12,549934579,214695
100000000,16,549934579,243054
100000000,100,549934579,216085
100000000,500,549934579,218438
100000000,2000,549934579,241483
